id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000155011.7	2.864779074	-3.420006148	1.52754263	-2.238894077	0.025162809	0.094046147
ENSG00000279597.1	2.653528289	-3.419495648	1.416215491	-2.414530607	0.015755499	0.066758824
ENSG00000137261.12	30.92293868	-3.416794318	0.574035366	-5.952236606	2.65E-09	1.23E-07
ENSG00000232926.1	4.414015598	-3.413161905	1.350825377	-2.526723263	0.011513218	0.052896098
ENSG00000255548.1	4.297466559	-3.413005727	1.129248113	-3.022370096	0.002508037	0.016673593
ENSG00000236914.3	3.91519287	-3.412143204	1.660614327	-2.05474754	0.039903396	0.1301582
ENSG00000154118.11	6.041500482	-3.405189415	1.059427969	-3.214177381	0.001308188	0.01007577
ENSG00000224885.1	4.239976449	-3.403020946	1.206209704	-2.821251508	0.004783668	0.027274272
ENSG00000243267.3	2.728296394	-3.40247028	1.608635691	-2.115127931	0.034419045	0.117145332
ENSG00000167037.17	18.88923488	-3.398677583	0.64979496	-5.230384644	1.69E-07	5.26E-06
ENSG00000221164.1	4.441287988	-3.388422742	1.667493067	-2.032046075	0.042148992	0.135459935
ENSG00000275896.3	2.600010757	-3.38707341	1.520614803	-2.227436826	0.025918094	0.09606633
ENSG00000241679.2	3.956002854	-3.383891088	1.283691366	-2.636062825	0.00838742	0.041887628
ENSG00000221946.6	4.404870785	-3.378390159	1.472080677	-2.294976227	0.021734487	0.084760565
ENSG00000256897.1	2.696323659	-3.377622904	1.818483229	-1.857384687	0.063256443	0.179638297
ENSG00000231739.2	4.447738863	-3.376028718	1.459182745	-2.313643531	0.020687284	0.081671295
ENSG00000144649.7	3.830272923	-3.375873145	1.323689492	-2.550351245	0.010761444	0.050399357
ENSG00000219448.1	2.673353097	-3.37252942	1.539228727	-2.191051506	0.028448065	0.102619946
ENSG00000231548.1	2.77521952	-3.370125463	1.503451278	-2.241592736	0.024987706	0.093553939
ENSG00000255390.1	6.202912675	-3.355360317	1.174713583	-2.856322057	0.004285802	0.025029045
ENSG00000263464.2	3.825501699	-3.354718383	1.125445236	-2.980792201	0.002875038	0.018551586
