id	group_1_sample_10_SRR988501_PE	group_1_sample_11_SRR988500_PE	group_1_sample_12_SRR988499_PE	group_1_sample_1_SRR988510_PE	group_1_sample_2_SRR988509_PE	group_1_sample_3_SRR988508_PE	group_1_sample_4_SRR988507_PE	group_1_sample_5_SRR988506_PE	group_1_sample_6_SRR988505_PE	group_1_sample_7_SRR988504_PE	group_1_sample_8_SRR988503_PE	group_1_sample_9_SRR988502_PE
ENSG00000157343.7	0.00	0.00	12.00	1.00	3.00	0.00	3.00	4.00	3.00	0.00	1.00	2.00
ENSG00000157349.14	326.67	42.86	261.89	259.42	422.56	137.55	316.72	132.31	143.49	65.65	326.88	121.92
ENSG00000157350.11	1598.53	178.75	859.95	1044.00	603.32	348.49	562.64	492.88	540.60	157.60	1153.14	351.32
ENSG00000157353.15	110.28	12.00	118.53	50.16	74.00	25.09	65.24	25.43	37.08	24.00	118.02	9.04
ENSG00000157368.9	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00
ENSG00000157379.12	260.00	38.00	202.00	85.00	126.00	38.00	152.00	63.01	71.00	19.00	238.00	31.00
ENSG00000157388.12	50.33	7.01	47.28	61.38	24.96	3.15	8.02	6.54	22.44	1.94	53.20	0.98
ENSG00000157399.13	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000157404.14	105.00	12.00	125.00	30.00	33.00	15.00	47.00	31.00	102.00	1.00	84.00	27.00
ENSG00000157423.16	31.00	0.00	1.00	2.08	2.00	0.00	0.00	0.00	16.54	0.00	1.00	1.00
ENSG00000157426.12	667.00	49.00	489.00	370.00	277.00	138.00	295.00	162.00	280.00	66.00	360.00	72.00
ENSG00000157429.14	66.30	16.00	32.24	59.47	87.72	26.06	72.23	23.32	46.49	22.00	66.87	24.78
ENSG00000157445.13	167.00	13.00	130.00	71.00	16.00	5.00	41.00	28.00	17.00	20.00	43.00	11.00
ENSG00000157450.14	1183.00	450.00	1611.00	1335.00	1025.00	569.00	1078.00	1156.00	974.00	267.00	1840.00	622.00
ENSG00000157456.6	35.00	8.00	45.00	37.00	21.00	9.00	75.00	26.00	19.00	7.00	23.00	20.00
ENSG00000157470.10	3.00	2.00	5.00	4.00	1.00	2.00	0.00	3.00	0.00	0.00	5.00	1.00
ENSG00000157483.7	210.00	22.00	124.00	150.00	198.00	46.00	132.00	44.00	68.00	29.00	200.00	65.00
ENSG00000157500.9	1314.43	292.20	1645.36	1450.68	1047.80	503.20	1352.15	757.87	735.94	435.12	1409.25	443.37
ENSG00000157502.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
ENSG00000157510.12	3.00	0.00	0.00	0.00	5.00	1.00	17.00	1.00	1.00	0.00	1.00	0.00
ENSG00000157514.15	3652.00	1384.00	5053.00	3749.00	2576.00	1665.00	5600.00	3920.00	4123.00	387.00	5302.00	2116.00
ENSG00000157538.12	1354.27	326.00	1426.00	1094.00	848.60	507.00	1061.99	842.24	712.00	317.00	1266.34	499.00
ENSG00000157540.18	4729.00	1252.00	5341.00	4278.00	2993.00	1541.00	4307.00	3699.00	2973.00	1022.00	4966.00	1632.00
ENSG00000157542.9	1.00	0.00	0.00	1.01	0.00	0.00	0.00	0.00	4.00	0.00	1.55	0.00
ENSG00000157551.16	9401.86	6297.49	11359.48	12969.03	5076.36	6507.11	6610.92	16127.08	5415.24	2495.03	11829.87	7291.44
ENSG00000157554.17	5.00	1.00	0.00	21.00	12.00	14.00	8.00	15.00	37.00	3.00	21.00	14.00
ENSG00000157557.10	756.00	171.00	845.00	1085.00	501.00	202.00	495.00	520.00	422.00	120.00	652.00	444.00
ENSG00000157570.10	137.00	28.00	163.00	91.00	116.00	76.00	164.00	176.00	259.00	39.00	475.00	44.00
ENSG00000157578.12	27.32	1.00	152.42	37.99	82.23	9.48	67.40	8.81	24.99	1.00	44.16	27.01
ENSG00000157593.15	381.00	37.00	200.00	161.00	209.00	82.00	431.00	138.00	140.00	55.00	225.00	58.00
ENSG00000157600.10	4114.00	372.00	2944.00	2498.00	1371.00	773.00	1735.00	1237.00	1190.00	459.00	2906.00	1007.00
ENSG00000157601.12	2766.98	3618.96	3430.29	2749.92	1576.97	3266.59	1713.99	5563.96	481.00	1558.99	1936.97	3506.93
ENSG00000157617.15	354.00	96.00	337.00	267.10	386.06	154.00	412.00	305.00	171.00	167.00	350.00	125.99
